catalog_id,catalog_name,catalog_url,catalog_purpose,catalog_specialty,catalog_disease,match_name
3828,Acute Decompensated Heart Failure National Registry (ADHERE) Algorithm/none,https://www.mdcalc.com/calc/3828/acute-decompensated-heart-failure-national-registry-adhere-algorithm,Prognosis,"Cardiology, Critical Care, Geriatrics, Hospitalist Medicine, Internal Medicine, Pulmonology",Heart Failure,acute decompensated heart failure national registry adhere algorithm
2175,Acute Gout Diagnosis Rule,https://www.mdcalc.com/calc/2175/acute-gout-diagnosis-rule,Diagnosis,"Emergency Medicine, Family Practice, Internal Medicine, Orthopedics, Primary Care, Rheumatology",Gout,acute gout diagnosis rule
10550,Acute Interstitial Nephritis (AIN) Risk Calculator/none,https://www.mdcalc.com/calc/10550/acute-interstitial-nephritis-ain-risk-calculator,"Diagnosis, Prognosis","Critical Care, Emergency Medicine, Family Practice, Hospitalist Medicine, Internal Medicine, Nephrology, Primary Care","Acute Kidney Injury, Renal Failure, Acute Interstitial Nephritis",acute interstitial nephritis ain risk calculator
10634,Acute Pancreatitis Prediction Model,https://www.mdcalc.com/calc/10634/acute-pancreatitis-prediction-model,Prognosis,"Emergency Medicine, Endocrinology, Gastroenterology, Hospitalist Medicine, Internal Medicine, Primary Care, Surgery (General)",Pancreatitis,acute pancreatitis prediction model
10471,Acute Renal Failure after Cardiac Surgery (Thakar Score)/none,https://www.mdcalc.com/calc/10471/acute-renal-failure-cardiac-surgery-thakar-score,Prognosis,"Cardiology, Critical Care, Emergency Medicine, Surgery (Cardiothoracic)","Acute Coronary Syndrome, Arterial Aneurysm, Coronary Artery Disease, Endocarditis, Heart Failure, Myocarditis, Hypertrophic Cardiomyopathy",acute renal failure after cardiac surgery thakar score
1857,ADAPT Protocol for Cardiac Event Risk,https://www.mdcalc.com/calc/1857/adapt-protocol-cardiac-event-risk,"Algorithm, Prognosis, Rule Out","Cardiology, Emergency Medicine, Hospitalist Medicine, Internal Medicine",Acute Coronary Syndrome,adapt protocol for cardiac event risk
3909,Additional Nodal Metastasis Nomogram,https://www.mdcalc.com/calc/3909/additional-nodal-metastasis-nomogram,Prognosis,"Hematology and Oncology, Internal Medicine, OB-Gyn, Surgery (General)",Breast Cancer,additional nodal metastasis nomogram
1730,Adult Self-Report Scale (ASRS v1.1) for ADHD,https://www.mdcalc.com/calc/1730/adult-self-report-scale-asrs-adhd,Diagnosis,"Family Practice, Internal Medicine, Primary Care, Psychiatry",Attention-Deficit/Hyperactivity Disorder,adult self report scale asrs v1 1 for adhd
10464,Adverse Childhood Experiences (ACE) Score,https://www.mdcalc.com/calc/10464/adverse-childhood-experiences-ace-score,Prognosis,"Emergency Medicine, Family Practice, Hospitalist Medicine, Internal Medicine, Psychiatry","Drug/Alcohol Use, Anxiety, Depression/Suicidality, Diabetes Mellitus, Heart Failure, Hepatitis, Obesity, Trauma, Chronic Obstructive Pulmonary Disease, Stroke / Transient Ischemic Attack (TIA), Testicular Torsion",adverse childhood experiences ace score
10138,Age-Adjusted D-dimer for Venous Thromboembolism (VTE),https://www.mdcalc.com/calc/10138/age-adjusted-d-dimer-venous-thromboembolism-vte,"Diagnosis, Rule Out","Cardiology, Critical Care, Emergency Medicine, Family Practice, Geriatrics, Hospitalist Medicine, Primary Care, Pulmonology, Surgery (Vascular)","Acute Coronary Syndrome, Deep Venous Thrombosis, Pulmonary Embolism, Venous Thromboembolism",age adjusted d dimer for venous thromboembolism vte
